sku,ever_succeeded,last_known_status,in_current_item_list,in_done_history,source,matched_url,amazon_url,ebay_url,has_sds,has_spec
MSF1630001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1640001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1650001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1660001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1670001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1680001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1680005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1690001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1700001,yes,SUCCESS,yes,yes,miles,,,,yes,yes
MSF1700005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1710001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1710005,yes,SUCCESS,no,no,miles,,,,yes,yes
MSF1720001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1720005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1730001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1730005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/585,,,yes,yes
MSF1740001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1750001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1760001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1770001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1770005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1780001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1780005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1790001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1790005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1800001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1800005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1901001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1901005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1902001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1902005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1903001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1903005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1904001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1904005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF1905001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF1905005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF2002001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2003001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2004001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2006607,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF2006707,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF2009001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2010001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2021001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2021005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1493,,,yes,yes
MSF2022001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2022005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF2023001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2023005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF2031001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2031005,yes,SUCCESS,no,yes,miles,,,,yes,no
MSF2032001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2032005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1424,,,yes,yes
MSF2033001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2033005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1425,,,yes,yes
MSF2034001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2034005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1426,,,yes,yes
MSF2035001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2035005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1435,,,yes,yes
MSF2036001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2036005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1436,,,yes,yes
MSF2037001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2037005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1437,,,yes,yes
MSF2038001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2038005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1438,,,yes,yes
MSF2041001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2041005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1453,,,yes,yes
MSF2042001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2042005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1454,,,yes,yes
MSF2043001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2043005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1455,,,yes,yes
MSF2044001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2044005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1456,,,yes,yes
MSF2045001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2045005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1457,,,yes,yes
MSF2046001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2046005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1458,,,yes,yes
MSF2047001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2051001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2051005,yes,SUCCESS,no,yes,miles,,,,yes,no
MSF2052001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2052005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1470,,,yes,no
MSF2053001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2053005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1469,,,yes,no
MSF2054001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2054005,yes,SUCCESS,no,yes,miles,,,,yes,no
MSF2055001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2055005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1478,,,yes,yes
MSF2061001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2061005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF2062001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2062005,yes,SUCCESS,no,yes,miles,,,,yes,yes
MSF2063001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2063005,yes,SUCCESS,no,yes,miles,https://mileslubricants.com/product/show/1485,,,yes,yes
MSF2064001,no,NEVER_SUCCEEDED,yes,no,,,,,,
MSF2064005,yes,SUCCESS,no,yes,miles,,,,yes,yes
